Entity,Year,"Share of fish stocks within biologically sustainable levels (FAO, 2020)",Share of fish stocks that are overexploited,Code,Capture fisheries production (metric tons),"Fish, Seafood- Food supply quantity (kg/capita/yr) (FAO, 2020)",Industrial (large-scale commercial),Commodity Balances - Livestock and Fish Primary Equivalent - Freshwater Fish - 2761 - Production - 5510 - tonnes
Eastern Central Atlantic,2015,57.14286,42.85714,,,,,
Eastern Central Pacific,2015,86.66667,13.33333,,,,,
Eastern Indian Ocean,2015,73.07692,26.92308,,,,,
Mediterranean and Black Sea,2015,37.83784,62.16216,,,,,
Northeast Central Atlantic,2015,73.46939,26.53061,,,,,
Northeast Pacific,2015,85.71429,14.28571,,,,,
Northwest Central Atlantic,2015,73.91304,26.08696,,,,,
Northwest Pacific,2015,82.69231,17.30769,,,,,
Southeast Central Atlantic,2015,67.64706,32.35294,,,,,
Southeast Pacific,2015,38.46154,61.53846,,,,,
Southwest Atlantic,2015,41.17647,58.82353,,,,,
Southwest Pacific,2015,74.07407,25.92593,,,,,
Western Central Atlantic,2015,60.34483,39.65517,,,,,
Western Central Pacific,2015,82.6087,17.3913,,,,,
Western Indian Ocean,2015,66.66667,33.33333,,,,,
World,2015,66.66666667,33.33333333,OWID_WRL,93736944.844,,,
Afghanistan,2015,,,AFG,1750.0,0.21,,
Africa Eastern and Southern,2015,,,,4017684.25,,,
Africa Western and Central,2015,,,,3154317.0,,,
Albania,2015,,,ALB,7855.5,5.35,,
Algeria,2015,,,DZA,95946.0,4.16,,
American Samoa,2015,,,ASM,3138.0,,,
Andorra,2015,,,AND,0.0,,,
Angola,2015,,,AGO,495232.0,22.72,,
Antigua and Barbuda,2015,,,ATG,3165.0,53.59,,
Arab World,2015,,,,3097365.625,,,
Argentina,2015,,,ARG,835850.0,7.21,,
Armenia,2015,,,ARM,8140.0,6.59,,
Aruba,2015,,,ABW,150.0,,,
Australia,2015,,,AUS,203270.71875,24.82,,
Austria,2015,,,AUT,350.0,14.03,,
Azerbaijan,2015,,,AZE,594.0,1.37,,
Bahamas,2015,,,BHS,11307.2900390625,27.86,,
Bahrain,2015,,,BHR,15000.0,,,
Bangladesh,2015,,,BGD,1624237.0,23.86,,
Barbados,2015,,,BRB,1500.0,40.1,,
Belarus,2015,,,BLR,869.0,16.3,,
Belgium,2015,,,BEL,24721.0,24.72,,
Belize,2015,,,BLZ,97524.0,12.66,,
Benin,2015,,,BEN,36477.0,19.0,,
Bermuda,2015,,,BMU,407.0,,,
Bhutan,2015,,,BTN,7.0,,,
Bolivia,2015,,,BOL,74606.0,2.65,,
Bosnia and Herzegovina,2015,,,BIH,305.0,4.78,,
Botswana,2015,,,BWA,4521.0,3.95,,
Brazil,2015,,,BRA,723093.0,9.02,,
British Virgin Islands,2015,,,VGB,1200.0,,,
Brunei,2015,,,BRN,3370.0,,,
Bulgaria,2015,,,BGR,8829.0,6.98,,
Burkina Faso,2015,,,BFA,20750.0,6.89,,
Burundi,2015,,,BDI,20120.0,,,
Cambodia,2015,,,KHM,626243.0,41.22,,
Cameroon,2015,,,CMR,224000.0,20.14,,
Canada,2015,,,CAN,899220.0,22.22,,
Cape Verde,2015,,,CPV,37744.0,12.56,,
Caribbean Small States,2015,,,,377580.290039063,,,
Cayman Islands,2015,,,CYM,125.0,,,
Central African Republic,2015,,,CAF,28000.0,7.93,,
Central Europe and the Baltics,2015,,,,549692.391998291,,,
Chad,2015,,,TCD,100000.0,7.14,,
Channel Islands,2015,,,OWID_CIS,2574.0,,,
Chile,2015,,,CHL,2131953.0,11.44,,
China,2015,,,CHN,16647935.0,37.49,,
Colombia,2015,,,COL,599246.0,7.37,,
Comoros,2015,,,COM,12674.0,,,
Congo,2015,,,COG,69242.0,25.19,,
Costa Rica,2015,,,CRI,14750.0,14.73,,
Cote d'Ivoire,2015,,,CIV,98546.0,18.37,,
Croatia,2015,,,HRV,73947.0,16.81,,
Cuba,2015,,,CUB,25634.0,6.85,,
Curacao,2015,,,CUW,30159.0,,,
Cyprus,2015,,,CYP,1488.0,23.05,,
Czechia,2015,,,CZE,3841.0,9.3,,
Democratic Republic of Congo,2015,,,COD,230726.0,,,
Denmark,2015,,,DNK,869013.0,22.88,,
Djibouti,2015,,,DJI,2012.0,4.82,,
Dominica,2015,,,DMA,990.0,32.59,,
Dominican Republic,2015,,,DOM,11893.0,9.08,,
Early-demographic dividend,2015,,,,31630212.453125,,,
East Asia & Pacific,2015,,,,42123453.421875,,,
East Asia & Pacific (IDA & IBRD),2015,,,,34939628.453125,,,
East Asia & Pacific (excluding high income),2015,,,,35161388.453125,,,
Ecuador,2015,,,ECU,643280.0,7.79,,
Egypt,2015,,,EGY,344113.0,23.54,,
El Salvador,2015,,,SLV,50441.0,7.23,,
