Entity,Year,Aquaculture production,Capture fisheries production,Sea food supply,Sustainable fish stock share,Overexploited fish stock share,Artisanal fisheries,Discards portion,Industrial fisheries,Pelagic Fish production,Freshwater Fish production
World,1974,4941524.0,63470416.0,11.73,90.0,10.0,13309012.0,11416434.0,56720856.0,57561244.0,7052049.0
World,1978,6593363.0,67115747.0,11.55,91.46341463,8.53658537,14360786.0,10872136.0,62623483.0,61732548.0,7299159.0
World,1979,6714748.0,67583580.5,11.4,86.98224852,13.01775148,14616134.0,10707877.0,60252600.0,62226107.0,7546690.0
World,1981,7818586.0,70308777.033,11.83,86.41975309,13.58024691,15279447.0,10984462.0,62459956.0,65057556.0,8576233.0
World,1983,9089265.0,71946274.376,11.88,83.33333333,16.66666667,15300068.0,12388473.0,65689361.0,66426599.0,9634243.0
World,1985,11354348.648,79380107.449,12.54,81.81818182,18.18181818,16380243.0,14706334.0,73506569.0,73884374.0,11149463.0
World,1987,13971504.228,85595380.513,13.38,75.67567568,24.32432432,17449809.0,15669889.0,79755589.0,80578004.0,12944688.0
World,1989,16486351.069,89603182.964,13.64,73.36956522,26.63043478,17620239.0,16962727.0,84135075.0,84838210.0,14411489.0
World,1990,16850459.041,86024297.41,13.54,81.86813187,18.13186813,17734811.0,16698879.0,80593708.0,81448671.0,15084741.0
World,1992,21211488.889,86415586.71,12.94,76.77725118,23.22274882,18417117.0,15717869.0,81793283.0,83170771.0,15856044.0
World,1995,31232256.194,93696571.977,15.06,74.32432432,25.67567568,19665232.0,14406022.0,87743321.0,93027786.0,21929661.0
World,1997,34296276.699,94464034.81,15.52,76.96629213,23.03370787,20401848.0,14321828.0,88205198.0,93968619.0,24597739.0
World,2000,41724569.753,94763862.697,15.9,72.79069767,27.20930233,19735866.0,11986132.0,87493439.0,95463412.0,28066266.0
World,2004,54570314.089,94176615.32,16.8,76.39484979,23.60515021,21076208.0,10387939.0,85760977.0,98221390.0,33712122.0
World,2006,61591980.132,91237774.257,17.46,72.37113402,27.62886598,21417851.0,9530758.0,78480816.0,96570556.0,38154827.0
World,2008,68799079.902,90694759.549,18.2,67.0212766,32.9787234,21111836.0,9568906.0,76840638.0,97672777.0,42449914.0
World,2009,73045256.331,90266893.424,18.46,69.55380577,30.44619423,21828623.0,9369530.0,75728150.0,98115100.0,44828548.0
